Race,Cause,Deployed,Retreated,FullLaps
1973 Canadian Grand Prix,Accident,33,39.0,5
1993 Brazilian Grand Prix,Accident/Rain,29,38.0,8
1993 British Grand Prix,Stranded car,38,40.0,1
1994 San Marino Grand Prix,Accident,1,6.0,4
1995 Belgian Grand Prix,Rain,28,33.0,4
1996 Argentine Grand Prix,Accident,28,33.0,4
1996 Belgian Grand Prix,Accident,13,18.0,4
1997 Argentine Grand Prix,Accident,1,5.0,4
1997 Belgian Grand Prix,Rain,1,4.0,3
1998 Canadian Grand Prix,Accident,1,6.0,4
1998 Canadian Grand Prix,Debris,15,18.0,2
1998 Canadian Grand Prix,Accident,20,23.0,2
1998 British Grand Prix,Rain,42,49.0,6
1998 Austrian Grand Prix,Two accidents,1,4.0,2
1998 Belgian Grand Prix,Accident,28,33.0,4
1999 Australian Grand Prix,Accident,15,18.0,2
1999 Australian Grand Prix,Accident,22,26.0,4
1999 Canadian Grand Prix,Accident,1,3.0,1
1999 Canadian Grand Prix,Accident,3,8.0,4
1999 Canadian Grand Prix,Accident,35,41.0,5
1999 Canadian Grand Prix,Accident,66,,3
1999 French Grand Prix,Stranded car/Rain,25,36.0,10
1999 European Grand Prix,Accident,1,7.0,6
2000 Australian Grand Prix,Accident,7,11.0,3
2000 Austrian Grand Prix,Accident,1,3.0,1
2000 German Grand Prix,Man on track,25,29.0,3
2000 German Grand Prix,Accident,30,32.0,1
2000 Belgian Grand Prix,Rain,1,2.0,1
2000 Italian Grand Prix,Multiple accidents,1,12.0,11
2000 Malaysian Grand Prix,Accident,1,3.0,1
2001 Australian Grand Prix,Accident,6,16.0,10
2001 Malaysian Grand Prix,Rain,4,11.0,6
2001 Brazilian Grand Prix,Stranded car,1,3.0,1
2001 Austrian Grand Prix,Four stranded cars,1,4.0,2
2001 Canadian Grand Prix,Accident,21,24.0,2
2001 Belgian Grand Prix,Accident,6,7.0,1
2002 Australian Grand Prix,Accident,1,6.0,4
2002 Australian Grand Prix,Accident,9,12.0,2
2002 Austrian Grand Prix,Stranded car,24,28.0,3
2002 Austrian Grand Prix,Accident,28,37.0,8
2002 Canadian Grand Prix,Stranded car,14,18.0,3
2003 Australian Grand Prix,Two accidents,8,11.0,2
2003 Australian Grand Prix,Stranded car,16,20.0,3
2003 Brazilian Grand Prix,Rain,1,9.0,8
2003 Brazilian Grand Prix,Accident,18,23.0,5
2003 Brazilian Grand Prix,Three accidents,27,30.0,2
2003 Brazilian Grand Prix,Accident,33,37.0,3
2003 Brazilian Grand Prix,Two accidents,54,,2
2003 Spanish Grand Prix,Multiple accidents,0,6.0,5
2003 Austrian Grand Prix,Stranded car,1,5.0,3
2003 Monaco Grand Prix,Stranded car,1,5.0,3
2003 German Grand Prix,Multiple accidents,1,4.0,4
2003 British Grand Prix,Debris from car,5,8.0,2
2003 British Grand Prix,Man on track,12,16.0,3
2004 Monaco Grand Prix,Accident,3,8.0,4
2004 Monaco Grand Prix,Accident,42,47.0,4
2004 British Grand Prix,Accident,40,46.0,5
2004 United States Grand Prix,Accident,1,6.0,4
2004 United States Grand Prix,Accident,11,20.0,8
2004 Belgian Grand Prix,Accident,1,5.0,3
2004 Belgian Grand Prix,Accident,31,35.0,2
2004 Belgian Grand Prix,Debris from accident,39,42.0,3
2005 Monaco Grand Prix,Stranded car,25,29.0,3
2005 Canadian Grand Prix,Accident,46,52.0,5
2005 British Grand Prix,Accident,1,3.0,1
2005 Belgian Grand Prix,Accident,11,14.0,2
2005 Brazilian Grand Prix,Debris from accident,1,3.0,2
2005 Japanese Grand Prix,Accident,1,8.0,6
2005 Chinese Grand Prix,Loose drain cover,19,25.0,5
2005 Chinese Grand Prix,Accident,29,35.0,5
2006 Australian Grand Prix,Accident,1,4.0,3
2006 Australian Grand Prix,Accident,8,10.0,1
2006 Australian Grand Prix,Accident,33,36.0,2
2006 Australian Grand Prix,Accident,36,41.0,4
2006 San Marino Grand Prix,Accident,1,3.0,1
2006 European Grand Prix,Stranded car,3,4.0,1
2006 Monaco Grand Prix,Stranded car,51,53.0,1
2006 British Grand Prix,Accident,2,4.0,1
2006 Canadian Grand Prix,Accident,2,4.0,1
2006 Canadian Grand Prix,Accident,61,64.0,2
2006 United States Grand Prix,Two accidents,1,7.0,5
2006 Hungarian Grand Prix,Accident,26,31.0,4
2006 Turkish Grand Prix,Stranded car,13,16.0,2
2006 Brazilian Grand Prix,Accident,3,7.0,3
2007 Bahrain Grand Prix,Accident,1,4.0,2
2007 Canadian Grand Prix,Accident,22,27.0,4
2007 Canadian Grand Prix,Accident,27,34.0,7
2007 Canadian Grand Prix,Debris from accident,50,55.0,3
2007 Canadian Grand Prix,Accident,56,61.0,4
2007 European Grand Prix,Accidents,3,8.0,4
2007 Italian Grand Prix,Accident,1,7.0,5
2007 Japanese Grand Prix,Rain,1,20.0,19
2007 Japanese Grand Prix,Accident,42,49.0,6
2008 Australian Grand Prix,Accident,1,3.0,1
2008 Australian Grand Prix,Accident,27,31.0,3
2008 Australian Grand Prix,Accident,45,49.0,3
2008 Spanish Grand Prix,Accident,1,4.0,2
2008 Spanish Grand Prix,Accident,23,29.0,6
2008 Turkish Grand Prix,Accident,1,3.0,1
2008 Monaco Grand Prix,Accident,8,11.0,2
2008 Monaco Grand Prix,Accident,62,68.0,5
2008 Canadian Grand Prix,Stranded car,17,22.0,5
2008 German Grand Prix,Accident,36,42.0,5
2008 Italian Grand Prix,Rain,1,3.0,2
2008 Singapore Grand Prix,Accident,16,20.0,3
2008 Singapore Grand Prix,Accident,51,54.0,3
2008 Brazilian Grand Prix,Accident,2,5.0,2
2009 Australian Grand Prix,Accident,19,25.0,5
2009 Australian Grand Prix,Accident,56,,3
2009 Malaysian Grand Prix,Rain,31,,1
2009 Chinese Grand Prix,Rain,1,9.0,8
2009 Chinese Grand Prix,Debris from accident,19,23.0,3
2009 Spanish Grand Prix,Accident,1,6.0,3
2009 Belgian Grand Prix,Accident,1,5.0,3
2009 Italian Grand Prix,Accident,53,,1
2009 Singapore Grand Prix,Accident,21,26.0,5
2009 Japanese Grand Prix,Accident,45,50.0,5
2009 Brazilian Grand Prix,Accident,1,6.0,5
2010 Australian Grand Prix,Accident,2,5.0,2
2010 Chinese Grand Prix,Accident,1,4.0,2
2010 Chinese Grand Prix,Debris from accident,22,26.0,3
2010 Monaco Grand Prix,Accident,1,7.0,5
2010 Monaco Grand Prix,Accident,31,34.0,2
2010 Monaco Grand Prix,Loose drain cover,43,46.0,2
2010 Monaco Grand Prix,Accident,75,,3
2010 European Grand Prix,Accident,10,15.0,4
2010 British Grand Prix,Debris from car,28,31.0,2
2010 Hungarian Grand Prix,Debris from car,15,18.0,2
2010 Belgian Grand Prix,Accident,2,4.0,1
2010 Belgian Grand Prix,Accident,38,41.0,2
2010 Singapore Grand Prix,Accident,3,6.0,2
2010 Singapore Grand Prix,Accident,31,36.0,4
2010 Japanese Grand Prix,Accident,1,7.0,5
2010 Korean Grand Prix,Rain,1,4.0,3
2010 Korean Grand Prix,Rain,4,18.0,14
2010 Korean Grand Prix,Accident,19,24.0,4
2010 Korean Grand Prix,Accident,31,35.0,3
2010 Brazilian Grand Prix,Accident,51,56.0,4
2010 Abu Dhabi Grand Prix,Accident,1,6.0,4
2011 Monaco Grand Prix,Accident,35,39.0,3
2011 Monaco Grand Prix,Multiple accidents,69,73.0,3
2011 Canadian Grand Prix,Rain,1,5.0,5
2011 Canadian Grand Prix,Accident,9,13.0,4
2011 Canadian Grand Prix,Rain,20,26.0,6
2011 Canadian Grand Prix,Rain,26,35.0,8
2011 Canadian Grand Prix,Accident,37,41.0,3
2011 Canadian Grand Prix,Debris from accident,56,61.0,4
2011 Belgian Grand Prix,Accident,13,17.0,3
2011 Italian Grand Prix,Accident,1,4.0,3
2011 Singapore Grand Prix,Accident,30,34.0,3
2011 Japanese Grand Prix,Debris from accident,24,28.0,3
2011 Korean Grand Prix,Accident,17,21.0,3
2012 Australian Grand Prix,Stranded car,37,42.0,4
2012 Malaysian Grand Prix,Rain,6,10.0,4
2012 Malaysian Grand Prix,Rain,10,15.0,5
2012 Monaco Grand Prix,Accident,2,4.0,1
2012 European Grand Prix,Debris from accident,27,34.0,6
2012 Belgian Grand Prix,Accident,1,5.0,4
2012 Singapore Grand Prix,Accident,33,39.0,5
2012 Singapore Grand Prix,Accident,40,43.0,2
2012 Japanese Grand Prix,Accident,1,3.0,1
2012 Abu Dhabi Grand Prix,Accident,9,15.0,5
